"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Maserati","Ghibli S Q4",0.8,0.187453692269696,"Gasoline","404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.00575864567493529
"Jaguar","F-PACE 25t Premium",0.9,0.0713756483082243,"Gasoline","247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.0110091755550234
"BMW","750 i xDrive",0.9,0.0824870338355149,"Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","At least 1 accident or damage reported","Yes",0.0143949204680221
"Acura","TLX V6 Advance",0.9,0.0634205976784391,"Gasoline","3.5L V6 24V GDI SOHC","9-Speed Automatic","Platinum White Pearl","Ebony","At least 1 accident or damage reported","",0.00982323328984991
"GMC","Terrain SLT-1",0.82,0.188184736972092,"Gasoline","182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",0.00254057897423616
"BMW","i3 Base w/Range Extender",0.8,0.0727414176339837,"","170.0HP 0.65L Electric Motor Electric Fuel System","1-Speed A/T","Black","Gray","None reported","Yes",0.00365843372290007
"Nissan","Versa 1.8 S",0.74,0.271183008150161,"Gasoline","122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","A/T","Blue","Gray","None reported","Yes",0.000846859658078719
"Mercedes-Benz","C-Class C 300 4MATIC",0.9,0.0567621634971598,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","White","Beige","None reported","Yes",0.0106704316917919
"Toyota","Matrix XRS",0.58,0.35440849592492,"Gasoline","180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",0.000744897755246041
"RAM","1500 Limited",0.94,0.0540874289948135,"Gasoline","395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",0.0178856759786226
"Mercedes-Benz","AMG E 53 Base 4MATIC",0.96,0.0318597184489998,"Hybrid","429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","9-Speed A/T","Silver","Black","None reported","Yes",0.0269301371269033
"Audi","A5 2.0T Premium",0.88,0.130649543097061,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Brown","At least 1 accident or damage reported","Yes",0.00880734044401868
"Lincoln","Navigator Reserve",0.9,0.110251914052853,"Gasoline","450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Beige","Beige","None reported","Yes",0.0172755982809426
"Audi","A6 3.2 quattro",0.68,0.498641639911089,"Gasoline","255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","Gray","At least 1 accident or damage reported","Yes",0.0012533522939565
"Chevrolet","Silverado 1500 LT Crew Cab",0.64,0.530748332921709,"Gasoline","345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00169202559684128
"Mercedes-Benz","S-Class S 560",0.9,0.190264262780934,"Gasoline","4.0 Liter","Automatic","designo Diamond White","Black","None reported","",0.0162590279473849
"Volvo","XC90 T6 Momentum",0.88,0.223613237836503,"Gasoline","2.0L I4 16V GDI DOHC","8-Speed Automatic","White","Amber","None reported","",0.00812951397369247
"Toyota","Camry SE",0.74,0.438631760928624,"Gasoline","179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Gray","At least 1 accident or damage reported","Yes",0.00193084002041948
"Mercedes-Benz","Metris Base",0.88,0.143862682143739,"Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",0.00931444000727622
"Chevrolet","Camaro 2LT",0.72,0.212571005186466,"Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00508115794847232
"Mazda","MX-5 Miata Grand Touring",0.76,0.0900666831316374,"Gasoline","167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Beige","At least 1 accident or damage reported","Yes",0.00616479956694985
"Ford","Escape SE",0.82,0.134000987898246,"Gasoline","173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Gray","None reported","Yes",0.0048271000510487
"Mercedes-Benz","S-Class S 63 AMG",0.82,0.0501210175351939,"Gasoline","5.5 Liter","Automatic","Black","Black","At least 1 accident or damage reported","",0.0195109690344072
"Kia","Niro EX",0.98,0.0184687577179551,"Hybrid","1.6L I4 16V GDI DOHC Hybrid","Automatic","Snow White Pearl","Charcoal","None reported","",0.0098618500902583
"Porsche","Boxster Base",0.72,0.159792541368239,"Gasoline","255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Gray","At least 1 accident or damage reported","Yes",0.00640225901507512
"Toyota","4Runner Trail",0.84,0.290639664114596,"Gasoline","270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","Gray","Black","None reported","Yes",0.00872265447821081
"Hyundai","Kona EV SEL",0.9,0.0815016053346505,"","201.0HP Electric Motor Electric Fuel System","1-Speed A/T","Black","Black","None reported","Yes",0.0054876505843501
"Land","Rover Range Rover Evoque SE",0.84,0.212650037046184,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Black","Black","None reported","Yes",0.00567395970912742
"Ford","E350 Super Duty XLT",0.76,0.402321560879229,"E85 Flex Fuel","255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability","A/T","White","Gray","None reported","Yes",0.00594495479971261
"Mercedes-Benz","SL-Class SL500 Roadster",0.6,0.0871820202519141,"Gasoline","302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Gray","None reported","Yes",0.00775723446800107
"Jeep","Compass Trailhawk",0.88,0.0763151395406273,"Gasoline","180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Gray","Black","None reported","Yes",0.00677487726462976
"Mercedes-Benz","S-Class S 560 4MATIC",0.88,0.254307236354655,"Gasoline","4.0 Liter","Automatic","Anthracite Blue Metallic","Silk Beige/Espresso Brown","None reported","",0.0132103331783016
"Mercedes-Benz","G-Class G 550 4MATIC",0.94,0.0552729068905903,"Gasoline","416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","A/T","White","Brown","None reported","Yes",0.0453239289003731
"Tesla","Model X P90D",0.84,0.224499876512719,"","691.0HP Electric Motor Electric Fuel System","A/T","Silver","White","None reported","Yes",0.0127028948711808
"Lexus","IS-F Base",0.72,0.102247468510743,"Gasoline","416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Black","At least 1 accident or damage reported","Yes",0.0144982373463077
"BMW","335 i",0.72,0.225845887873549,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.00372618249554636
"Audi","RS 7 4.0T",0.96,0.00987898246480613,"Hybrid","591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid","8-Speed A/T","Blue","Black","None reported","Yes",0.0543683900486538
"Buick","Lucerne CXL",0.64,0.271425043220548,"Gasoline","275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","None reported","Yes",0.00101623158969446
"Lincoln","MKX Reserve",0.84,0.217090639664115,"Gasoline","335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.00558927374331955
"Nissan","Armada Platinum",0.88,0.10553963941714,"Gasoline","390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Gray","None reported","Yes",0.0118560352131021
"Porsche","911 Carrera",0.92,0.0572437638923191,"Gasoline","3.0 Liter","Automatic","Blue","–","None reported","",0.0382773790574316
"Mercedes-Benz","E-Class 400E",0.38,0.263973820696468,"–","–","4-Speed A/T","White","Gray","None reported","Yes",0.00450529338097879
"BMW","435 Gran Coupe i",0.82,0.148184736972092,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Beige","None reported","Yes",0.00778941513500806
"Jeep","Wagoneer Series III",0.96,0.0426796739935787,"Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Velvet Red Pearlcoat","Global Black","None reported","Yes",0.0229278783828232
"Cadillac","ATS 2.5L",0.78,0.155771795505063,"Gasoline","202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00372448877623021
"Ford","Transit Connect XLT",0.72,0.17757470980489,"Gasoline","136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",0.00301482038276024
"Kia","EV6 GT-Line",0.96,0.0116571993084712,"","320.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Black","None reported","Yes",0.0154128457770327
"Audi","S5 3.0T Premium Plus",0.8,0.167448752778464,"Gasoline","333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Black","","",0.00812646527892339
"Toyota","Tundra SR",0.88,0.125710051864658,"Gasoline","381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",0.0121947790763336
"Jeep","Wrangler Unlimited Freedom Edition",0.78,0.134354161521363,"Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Green","Black","None reported","Yes",0.0111785474866391
"Maserati","Quattroporte Base",0.64,0.152482094344283,"Gasoline","394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Beige","None reported","Yes",0.00491178601685657
"Mercedes-Benz","CLS-Class CLS500",0.64,0.0712521610274142,"Gasoline","302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Blue","Beige","","",0.00499647198266444
"GMC","Sierra 3500 SLE",0.56,0.740676710298839,"Diesel","300.0HP 6.6L 8 Cylinder Engine Diesel Fuel","5-Speed A/T","Black","Gray","At least 1 accident or damage reported","Yes",0.00101623158969446
"Nissan","Frontier SL",0.74,0.255124722153618,"Gasoline","261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","Gray","Gray","At least 1 accident or damage reported","Yes",0.00508115794847232
"BMW","M5 Base",0.98,0.0017683378612003,"Gasoline","4.4L V8 32V GDI DOHC Twin Turbo","8-Speed Automatic","Alpine White","Black","None reported","",0.0365504628426775
"Porsche","911 R",0.84,0.00152877253642875,"Gasoline","4.0L H6 24V GDI DOHC","6-Speed Manual","White","Black / Brown","None reported","Yes",0.164968261393735
"Land","Rover Defender X-Dynamic SE",0.98,0.00883674981476908,"Hybrid","3.0 Liter","Automatic","Fuji White","Black","None reported","",0.0270988315707926
"Ford","F-150 XL",0.84,0.264015806371944,"E85 Flex Fuel","385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","White","Gray","At least 1 accident or damage reported","Yes",0.00677487726462976
"BMW","M8 Competition",0.96,0.0121462089404791,"Gasoline","4.4 Liter Twin Turbo","Automatic","–","Sakhir Orange/Black","None reported","",0.0382773790574316
"Porsche","911 Carrera S",0.72,0.0339590022227711,"Gasoline","385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",0.0235088241082652
"Volvo","XC70 3.2",0.68,0.115090145714991,"Gasoline","235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Beige","","",0.00318419231437598
"Chrysler","300 Touring",0.94,0.0527982217831563,"Gasoline","3.6 Liter","Automatic","Silver Mist","Black","None reported","",0.00873891418364592
"Honda","Insight EX",0.92,0.158310693998518,"Hybrid","151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid","CVT Transmission","White","Black","At least 1 accident or damage reported","Yes",0.00626642272591929
"Porsche","Cayman S",0.64,0.0765003704618424,"Gasoline","3.4L H6 24V MPFI DOHC","5-Speed Automatic","Black","Black / Stone Grey","None reported","Yes",0.0116019773156785
"Tesla","Model Y Performance",0.96,0.0621141022474685,"","455.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","White","None reported","Yes",0.0155144689360021
"BMW","M5 Competition",0.92,0.0871820202519141,"Gasoline","617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Orange","Black","None reported","Yes",0.0236951332330426
"Audi","S4 4.2 quattro",0.6,0.182588293405779,"Gasoline","340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Gray","None reported","Yes",0.00474241408524083
"Ford","F-250 Platinum",0.94,0.119656705359348,"Diesel","6.7L V8 32V DDI OHV Turbo Diesel","Automatic","Antimatter Blue Metallic","Black","None reported","",0.0230339052120147
"Kia","Seltos S",0.98,0.0125512472215362,"Gasoline","146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.0103316878285604
"RAM","ProMaster 2500 High Roof",0.9,0.0779970363052606,"Gasoline","280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",0.0106704316917919
"BMW","M760 M760i xDrive",0.92,0.0576191652259817,"Gasoline","6.6 Liter Twin Turbo","Automatic","White","Black","None reported","",0.0267600877075611
"Mercedes-Benz","E-Class E 400",0.82,0.0745863176092862,"Gasoline","329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",0.00914608430725017
"Cadillac","XTS Luxury",0.84,0.276364534452951,"Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","Beige","At least 1 accident or damage reported","Yes",0.00426783393285351
"INFINITI","Q50 Premium",0.8,0.314289948135342,"Gasoline","328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00609400209953446
"Volkswagen","Touareg V6 Executive",0.86,0.124722153618177,"Gasoline","280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Red","Brown","At least 1 accident or damage reported","Yes",0.0091088224822947
"Chevrolet","Suburban 1500 LTZ",0.74,0.478883674981477,"E85 Flex Fuel","320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","None reported","Yes",0.00269301371269033
"Toyota","Tundra SR5",0.94,0.0823783650284021,"Gasoline","381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Green","Black","None reported","Yes",0.0144813001531461
"BMW","X1 sDrive28i",0.96,0.105952086935046,"Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","None reported","Yes",0.0114326053840627
"Mercedes-Benz","GL-Class GL 550 4MATIC",0.84,0.113613237836503,"Gasoline","429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Beige","None reported","Yes",0.0112801706456085
"Cadillac","XTS Luxury",0.9,0.14546801679427,"Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.00643613340139827
"Jaguar","XJ8 Base",0.6,0.330698938009385,"Gasoline","294.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Beige","At least 1 accident or damage reported","Yes",0.00254057897423616
"Chevrolet","Camaro ZL1",0.92,0.00892813040256854,"Gasoline","650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.0501340917582602
"Mercedes-Benz","Sprinter 2500",0.76,0.247332674734502,"Diesel","188.0HP 3.0L V6 Cylinder Engine Diesel Fuel","A/T","White","–","At least 1 accident or damage reported","Yes",0.00745236499109273
"Mercedes-Benz","C-Class C 300 4MATIC",0.96,0.0209508520622376,"Gasoline","2.0L I4 16V GDI DOHC Turbo","9-Speed Automatic","Cirrus Silver Metallic","AMG Black","None reported","",0.0138881596486278
"Dodge","Dakota SLT",0.58,0.349962953815757,"Gasoline","230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","A/T","Red","Gray","At least 1 accident or damage reported","Yes",0.0012533522939565
"Audi","A5 2.0T Premium Plus",0.76,0.189923437885898,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",0.00399717758613155
"Audi","A5 2.0T Premium",0.88,0.16531242282045,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Pink","Brown","At least 1 accident or damage reported","Yes",0.00999294396532889
"Audi","S5 3.0 Premium Plus",0.76,0.151518893553964,"Gasoline","333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Gray","None reported","Yes",0.00592801760655103
"Porsche","Panamera GTS",0.82,0.0973079772783403,"Gasoline","440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.017137052040881
"Mercedes-Benz","AMG GT C",0.92,0.01605334650531,"Gasoline","550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Beige","None reported","Yes",0.0429865962440758
"Chevrolet","Camaro 2SS",0.98,0.00543344035564337,"Gasoline","455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Red","Black","None reported","Yes",0.0167678212299586
"Audi","Q7 Premium Plus",0.98,0.0259347987157323,"Hybrid","3.0 Liter TFSI","Automatic","Mythos Black","Black","None reported","",0.0203239543061628
"Maserati","GranTurismo MC",0.88,0.0442084465300074,"Gasoline","454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Black","None reported","Yes",0.0220183511100467
"GMC","Sierra 2500 AT4",0.96,0.0779970363052606,"Gasoline","6.6L V8 16V GDI OHV","Automatic","Cayenne Red Tintcoat","Jet Black","At least 1 accident or damage reported","",0.0223445614503386
"Cadillac","XT6 Sport AWD",0.92,0.0593084712274636,"Gasoline","3.6L V6 24V GDI DOHC","9-Speed Automatic","Garnet Red Metallic","Jet Black","At least 1 accident or damage reported","",0.0160656052014798
"Jeep","Grand Cherokee L Laredo",0.96,0.0543566312669795,"Gasoline","3.6L V6 24V MPFI DOHC","Automatic","Bright White Clearcoat","Global Black","","",0.014020269755288
"Chevrolet","Avalanche 1500 LT",0.76,0.365275376636206,"E85 Flex Fuel","320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","A/T","Black","Black","None reported","Yes",0.0054199018117038
"BMW","M5 Base",0.88,0.101012595702643,"Gasoline","600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","White","None reported","Yes",0.0197148928400726
"Nissan","Titan SE",0.7,0.314892566065695,"E85 Flex Fuel","317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability","A/T","Brown","Gray","None reported","Yes",0.00592801760655103
"Dodge","Ram 1500 SRT-10 Quad Cab",0.62,0.341689306001482,"Gasoline","500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel","4-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",0.00575864567493529
"GMC","Sierra 1500 SLT",0.78,0.567794517164732,"E85 Flex Fuel","315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","A/T","White","Black","None reported","Yes",0.00457304215362508
"Lexus","RX 350 F Sport",0.86,0.132252408001976,"Gasoline","295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Red","None reported","Yes",0.0105010597601761
"Mercedes-Benz","GL-Class GL 450 4MATIC",0.76,0.429488762657446,"Gasoline","335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00338709988845165
"INFINITI","QX80 Luxe",0.96,0.122894541862188,"Gasoline","5.6L V8 32V GDI DOHC","Automatic","Black Obsidian","Graphite","At least 1 accident or damage reported","Yes",0.0154619636372013
"Mercedes-Benz","AMG C 63 S",0.94,0.0334650530995307,"Gasoline","503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","9-Speed A/T","Blue","Black","None reported","Yes",0.0247283020158986
"BMW","528 i xDrive",0.84,0.330698938009385,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Brown","Brown","At least 1 accident or damage reported","Yes",0.00389555442716211
"Porsche","911 Carrera",0.8,0.192393183502099,"Gasoline","350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Brown","Brown","None reported","Yes",0.0223570949732782
"Porsche","Boxster S",0.62,0.162138799703631,"Gasoline","280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel","A/T","Blue","Gray","None reported","Yes",0.00669019129882188
"BMW","X6 M Base",0.94,0.0442084465300074,"Gasoline","600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",0.0311644354172969
"Ford","Mustang Premium",0.66,0.300148184736972,"Gasoline","210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.00252364178107458
"Rivian","R1S Launch Edition",0.98,0.0108668807112867,"","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","Silver","Gray","None reported","Yes",0.0298091212205077
"Volvo","XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger",0.96,0.0229883921956039,"Hybrid","2.0L I4 16V GDI DOHC Hybrid","8-Speed Automatic","Black","Gray","None reported","",0.020324293050026
"BMW","528 i xDrive",0.84,0.296122499382564,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","White","None reported","Yes",0.00474241408524083
"Cadillac","Escalade ESV Platinum",0.84,0.416152136329958,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Beige","None reported","Yes",0.00931545623886591
"Chevrolet","Corvette Base",0.6,0.107693257594468,"Gasoline","350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","None reported","Yes",0.00809597833123256
"Audi","A5 2.0T Premium",0.78,0.27389478883675,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","None reported","Yes",0.00321806670069913
"Audi","TT 2.0T Premium",0.76,0.159172635218573,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","None reported","Yes",0.00508115794847232
"Buick","LaCrosse CX",0.66,0.130649543097061,"Gasoline","200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","4-Speed A/T","Red","Gray","None reported","Yes",0.00152434738454169
"Chevrolet","Camaro 2SS",0.86,0.0330081501605335,"Gasoline","455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",0.0145321117326308
"Tesla","Model Y Long Range",0.98,0.0141862188194616,"","425.0HP Electric Motor Electric Fuel System","A/T","White","Black","None reported","Yes",0.0169371931615744
"BMW","M3 Base",0.82,0.182514201037293,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","M/T","Gray","Black","None reported","Yes",0.0128722668027965
"Kia","Optima LX",0.74,0.247545072857496,"Gasoline","200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","A/T","Red","–","At least 1 accident or damage reported","Yes",0.00165984492983429
"Toyota","Supra 3.0 Premium",0.96,0.0611262040009879,"Gasoline","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.0174683435391214
"Lincoln","Nautilus Reserve",0.94,0.042892072116572,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Pristine White","Slate","None reported","",0.0141798181148701
"Nissan","Pathfinder SL",0.82,0.283773771301556,"Gasoline","260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",0.00338574491299872
"BMW","X5 xDrive50i",0.82,0.17757470980489,"Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","At least 1 accident or damage reported","Yes",0.00829922464917145
"Mazda","MazdaSpeed3 Grand Touring",0.68,0.399851815263028,"Gasoline","263.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",0.00152434738454169
"GMC","Yukon XL SLT",0.86,0.117285749567795,"Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.0147353580505697
"Toyota","bZ4X Limited",0.98,0.0159249197332675,"","Electric","Automatic","Wind Chill Pearl","Black","None reported","",0.0135494157853963
"RAM","ProMaster 2500 High Roof",0.88,0.0252877253642875,"Gasoline","280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Gray","None reported","Yes",0.0118526477744698
"RAM","1500 Classic SLT",0.94,0.0790121017535194,"Gasoline","3.6L V6 24V MPFI DOHC","8-Speed Automatic","Patriot Blue Pearlcoat","Black","None reported","Yes",0.0112168255431843
"Lexus","GS 350 Base",0.8,0.210360582859965,"Gasoline","3.5 Liter","Automatic","Nebula Gray Pearl","Black","At least 1 accident or damage reported","",0.00745168750336627
"Hyundai","Tucson Limited",0.84,0.340577920474191,"Gasoline","175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","Brown","Beige","None reported","Yes",0.00304530733045107
"Chevrolet","SSR Base",0.58,0.215855766856014,"Gasoline","300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","A/T","Red","Black","None reported","Yes",0.00508081920460908
"Maserati","GranTurismo Base",0.78,0.0859965423561373,"Gasoline","440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Brown","None reported","Yes",0.0124996485532419
"Tesla","Model X Performance",0.92,0.0669893800938503,"","Electric","1-Speed Automatic","Black","Black","None reported","",0.021679268502952
"BMW","M2 Base",0.88,0.0614966658434181,"Gasoline","365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",0.0169371931615744
"Tesla","Model Y Long Range",0.94,0.0359150407508027,"","425.0HP Electric Motor Electric Fuel System","A/T","Red","Black","None reported","Yes",0.0157515896402642
"Subaru","Outback 2.5i Limited",0.82,0.399851815263028,"Gasoline","175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","Gray","Black","None reported","Yes",0.00406458761491462
"Buick","Roadmaster Estate",0.44,0.294887626574463,"Gasoline","260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","White","Beige","At least 1 accident or damage reported","Yes",0.00508081920460908
"Land","Rover Range Rover 5.0L Supercharged",0.86,0.251173129167696,"Gasoline","510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","Yes",0.0116866632814863
"Ford","Expedition Max XLT",0.94,0.208078537910595,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Blue","Ebony","None reported","Yes",0.0137838265387525
"Nissan","Leaf SL",0.76,0.0662632748826871,"","107.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","Beige","None reported","Yes",0.00159209615718799
